"year","state","party","ecv","pct","votes"
1992,"ALABAMA","other",0,10.9,183109
1992,"ALABAMA","rep",0,41.1,690080
1992,"ALASKA","dem",3,40.2,102000
1992,"ALASKA","other",0,28.9,73481
1992,"ALASKA","rep",0,30.8,78295
1992,"ARIZONA","dem",8,38.9,572086
1992,"ARIZONA","other",0,24.1,353741
1992,"ARIZONA","rep",0,37,543050
1992,"ARKANSAS","dem",0,35.8,337324
1992,"ARKANSAS","other",0,10.5,99132
1992,"ARKANSAS","rep",6,53.7,505823
1992,"CALIFORNIA","dem",0,32.9,3630566
1992,"CALIFORNIA","other",0,20.8,2296004
1992,"CALIFORNIA","rep",54,46.3,5121249
1992,"COLORADO","dem",0,36.1,562850
1992,"COLORADO","other",0,23.5,366010
1992,"COLORADO","rep",8,40.4,629681
1992,"CONNECTICUT","dem",0,35.9,578313
